VA,CS,a,b
1.94,1.27,0.0115,0.8913
1.94,1.28,0.0115,0.912
1.94,1.28,0.0115,0.9333
1.93,1.28,0.0115,0.955
1.93,1.28,0.0115,0.9772
1.93,1.29,0.0115,1
1.94,1.25,0.0117,0.7079
1.94,1.25,0.0117,0.7244
1.94,1.25,0.0117,0.7413
1.93,1.26,0.0117,0.7586
1.93,1.26,0.0117,0.7762
1.93,1.26,0.0117,0.7943
1.93,1.27,0.0117,0.8128
1.93,1.27,0.0117,0.8318
1.93,1.27,0.0117,0.8511
1.93,1.28,0.0117,0.871
1.93,1.28,0.0117,0.8913
1.93,1.28,0.0117,0.912
1.93,1.28,0.0117,0.9333
1.92,1.29,0.0117,0.955
1.92,1.29,0.0117,0.9772
1.92,1.29,0.0117,1
1.94,1.22,0.012,0.5754
1.94,1.23,0.012,0.5888
1.93,1.23,0.012,0.6026
1.93,1.23,0.012,0.6166
1.93,1.24,0.012,0.631
1.93,1.24,0.012,0.6457
1.93,1.24,0.012,0.6607
1.93,1.25,0.012,0.6761
1.93,1.25,0.012,0.6918
1.93,1.25,0.012,0.7079
1.93,1.26,0.012,0.7244
1.93,1.26,0.012,0.7413
1.92,1.26,0.012,0.7586
1.92,1.27,0.012,0.7762
1.92,1.27,0.012,0.7943
1.92,1.27,0.012,0.8128
1.92,1.28,0.012,0.8318
1.92,1.28,0.012,0.8511
1.92,1.28,0.012,0.871
1.92,1.29,0.012,0.8913
1.92,1.29,0.012,0.912
1.92,1.29,0.012,0.9333
1.91,1.29,0.012,0.955
1.91,1.3,0.012,0.9772
1.91,1.3,0.012,1
1.94,1.2,0.0123,0.4677
1.94,1.2,0.0123,0.4786
1.93,1.2,0.0123,0.4898
1.93,1.21,0.0123,0.5012
1.93,1.21,0.0123,0.5129
1.93,1.21,0.0123,0.5248
1.93,1.22,0.0123,0.537
1.93,1.22,0.0123,0.5495
1.93,1.22,0.0123,0.5623
1.93,1.23,0.0123,0.5754
1.93,1.23,0.0123,0.5888
1.92,1.24,0.0123,0.6026
1.92,1.24,0.0123,0.6166
1.92,1.24,0.0123,0.631
1.92,1.25,0.0123,0.6457
1.92,1.25,0.0123,0.6607
1.92,1.25,0.0123,0.6761
1.92,1.26,0.0123,0.6918
1.92,1.26,0.0123,0.7079
1.92,1.26,0.0123,0.7244
1.92,1.27,0.0123,0.7413
1.91,1.27,0.0123,0.7586
1.91,1.27,0.0123,0.7762
1.91,1.28,0.0123,0.7943
1.91,1.28,0.0123,0.8128
1.91,1.28,0.0123,0.8318
1.91,1.29,0.0123,0.8511
1.91,1.29,0.0123,0.871
1.91,1.29,0.0123,0.8913
1.91,1.29,0.0123,0.912
1.91,1.3,0.0123,0.9333
1.9,1.3,0.0123,0.955
1.9,1.3,0.0123,0.9772
1.9,1.31,0.0123,1
1.94,1.17,0.0126,0.3802
1.94,1.17,0.0126,0.389
1.94,1.18,0.0126,0.3981
1.93,1.18,0.0126,0.4074
1.93,1.18,0.0126,0.4169
1.93,1.19,0.0126,0.4266
1.93,1.19,0.0126,0.4365
1.93,1.19,0.0126,0.4467
1.93,1.2,0.0126,0.4571
1.93,1.2,0.0126,0.4677
1.93,1.21,0.0126,0.4786
1.92,1.21,0.0126,0.4898
1.92,1.21,0.0126,0.5012
1.92,1.22,0.0126,0.5129
1.92,1.22,0.0126,0.5248
1.92,1.22,0.0126,0.537
1.92,1.23,0.0126,0.5495
1.92,1.23,0.0126,0.5623
